iter	RMSE
0	11649.98931
1	11302.97004
2	10989.69705
3	10692.46536
4	10375.27611
5	10123.90004
6	9851.146471
7	9579.149288
8	9340.279602
9	9083.388856
10	8860.570392
11	8642.555458
12	8431.548227
13	8241.537112
14	8044.04433
15	7864.642733
16	7702.258393
17	7537.580361
18	7396.016419
19	7234.665801
20	7085.120697
21	6952.075985
22	6824.979272
23	6689.405719
24	6572.539635
25	6443.207644
26	6333.109923
27	6237.755855
28	6134.490939
29	6031.469325
30	5940.743707
31	5857.460659
32	5776.610603
33	5699.552139
34	5619.003423
35	5548.11454
36	5474.666413
37	5413.331111
38	5349.091619
39	5291.776811
40	5236.380373
41	5183.284903
42	5131.262657
43	5080.173508
44	5033.667712
45	4994.089314
46	4951.398525
47	4907.416599
48	4871.838051
49	4836.150048
50	4804.117285
51	4771.808286
52	4741.233753
53	4711.811833
54	4680.888237
55	4653.881803
56	4628.713194
57	4604.568541
58	4580.434042
59	4556.372805
60	4535.580132
61	4514.471646
62	4503.874633
63	4488.373953
64	4467.423687
65	4449.788936
66	4433.081913
67	4422.659488
68	4405.855098
69	4389.812406
70	4376.862864
71	4363.27946
72	4350.232157
73	4336.090328
74	4324.358585
75	4313.82347
76	4300.058956
77	4290.632337
78	4278.514911
79	4267.644054
80	4262.432648
81	4254.011719
82	4244.134066
83	4235.509941
84	4225.833391
85	4213.250714
86	4207.533269
87	4197.319616
88	4190.726392
89	4184.90693
90	4177.3813
91	4168.816097
92	4164.922948
93	4157.812577
94	4151.445373
95	4146.006148
96	4141.768059
97	4136.08411
98	4128.174687
99	4122.3273
100	4116.397904
101	4115.413257
102	4108.771423
103	4104.508304
104	4096.127528
105	4090.992555
106	4084.897735
107	4075.682941
108	4070.627694
109	4062.12365
110	4052.765545
111	4048.666649
112	4042.844567
113	4036.265855
114	4033.259314
115	4027.908359
116	4024.027034
117	4019.615048
118	4012.988049
119	4012.194733
120	4003.528469
121	3997.772232
122	3993.014793
123	3986.507442
124	3982.913523
125	3979.27429
126	3978.146047
127	3973.424948
128	3969.445584
129	3963.529991
130	3958.614046
131	3953.39348
132	3948.090849
133	3943.001546
134	3942.119268
135	3937.365373
136	3934.382332
137	3930.361692
138	3930.09841
139	3925.43642
140	3924.380633
141	3921.559054
142	3916.908844
143	3910.851583
144	3908.746718
145	3901.693817
146	3899.019279
147	3895.580402
148	3891.196006
149	3885.45527
150	3883.280235
151	3876.606694
152	3873.110286
153	3869.764615
154	3868.854956
155	3865.702769
156	3861.071952
157	3855.569511
158	3851.46995
159	3847.533073
160	3841.582213
161	3836.26402
162	3829.964088
163	3822.790575
164	3819.065447
165	3813.728187
166	3810.176276
167	3803.762685
168	3799.883804
169	3798.441633
170	3795.102324
171	3788.190612
172	3785.287117
173	3783.82309
174	3778.17776
175	3773.227208
176	3769.003721
177	3765.181927
178	3762.843655
179	3759.356078
180	3756.359112
181	3755.195723
182	3750.632825
183	3746.723076
184	3745.552394
185	3741.282131
186	3736.42099
187	3730.601455
188	3727.29435
189	3722.904648
190	3719.703303
191	3716.55416
192	3712.666036
193	3708.802014
194	3705.223121
195	3702.527056
196	3699.002867
197	3696.303205
198	3692.332743
199	3692.00684
200	3687.701066
201	3685.554742
202	3681.870654
203	3680.396908
204	3677.121561
205	3675.150289
206	3672.897442
207	3669.048334
208	3665.263205
209	3659.64104
210	3658.691948
211	3653.428267
212	3650.358114
213	3646.683941
214	3638.994887
215	3637.031963
216	3633.139554
217	3632.175119
218	3629.753559
219	3627.574545
220	3623.483625
221	3622.608316
222	3620.636508
223	3618.828426
224	3613.425902
225	3609.851745
226	3608.007682
227	3607.597112
228	3605.499513
229	3603.219558
230	3600.596627
231	3597.011101
232	3593.387947
233	3589.96265
234	3583.906479
235	3583.405288
236	3581.668363
237	3579.134625
238	3578.589288
239	3571.909904
240	3570.566615
241	3569.544872
242	3568.940913
243	3567.851751
244	3566.387512
245	3563.622419
246	3563.320687
247	3562.797332
248	3556.265459
249	3555.269759
250	3551.988253
251	3548.06421
252	3547.462108
253	3542.60649
254	3541.488161
255	3536.506686
256	3533.658849
257	3527.771242
258	3526.872271
259	3523.477262
260	3520.651996
261	3515.199616
262	3512.416858
263	3510.366997
264	3509.622972
265	3509.061061
266	3508.100402
267	3507.027503
268	3502.850658
269	3501.182376
270	3500.397409
271	3497.697976
272	3493.824732
273	3489.608163
274	3489.261993
275	3486.062971
276	3485.388256
277	3482.255789
278	3479.397455
279	3475.073881
280	3473.697582
281	3472.304329
282	3470.457689
283	3470.168972
284	3467.698876
285	3467.19833
286	3463.397193
287	3461.620736
288	3458.525608
289	3458.042366
290	3455.71894
291	3452.780132
292	3450.498151
293	3446.493902
294	3442.796113
295	3438.861613
296	3433.007204
297	3431.437907
298	3425.729848
299	3423.064134
300	3420.130354
301	3418.477548
302	3415.323995
303	3413.771141
304	3412.866254
305	3409.922452
306	3409.574177
307	3405.76395
308	3404.120758
309	3403.288497
310	3401.737727
311	3399.012608
312	3396.346585
313	3394.863752
314	3393.620959
315	3390.056819
316	3388.63598
317	3384.03511
318	3381.989094
319	3377.303055
320	3371.539138
321	3370.159047
322	3367.299613
323	3365.661539
324	3364.506966
325	3362.191363
326	3359.825336
327	3358.642048
328	3357.321228
329	3354.931555
330	3351.342701
331	3350.273918
332	3347.848646
333	3344.76825
334	3343.720887
335	3339.363255
336	3336.000431
337	3332.560796
338	3329.952213
339	3328.785016
340	3326.724956
341	3323.799439
342	3321.837833
343	3320.928701
344	3319.870881
345	3317.307657
346	3316.206032
347	3315.287813
348	3309.870953
349	3308.105799
350	3304.119564
351	3303.19221
352	3298.033375
353	3296.985804
354	3294.518197
355	3291.478414
356	3287.775826
357	3286.876763
358	3283.81854
359	3281.142456
360	3279.28837
361	3276.373158
362	3275.100055
363	3271.506723
364	3268.028991
365	3264.022845
366	3262.731709
367	3260.677902
368	3258.98916
369	3257.654751
370	3253.340448
371	3252.282329
372	3249.210085
373	3248.378384
374	3247.439989
375	3245.744606
376	3245.18997
377	3243.255817
378	3243.014453
379	3241.148781
380	3238.525447
381	3233.534527
382	3233.189787
383	3231.382879
384	3227.652868
385	3225.948086
386	3223.285766
387	3221.709329
388	3220.436296
389	3217.65314
390	3214.534315
391	3211.805338
392	3210.286582
393	3204.976664
394	3202.703817
395	3201.878928
396	3198.106941
397	3196.642375
398	3191.536136
399	3187.74511
400	3185.523551
401	3185.021183
402	3182.980012
403	3181.395353
404	3176.485798
405	3175.389026
406	3172.355458
407	3170.951809
408	3167.916537
409	3164.60323
410	3163.90666
411	3159.394135
412	3156.532878
413	3155.003762
414	3154.762552
415	3152.032505
416	3148.985505
417	3146.399052
418	3142.232282
419	3140.624892
420	3139.855281
421	3138.023562
